"date","home_team","away_team","home_score","away_score"
"2009-01-10","China PR","New Zealand","6","0"
"2009-01-12","South Korea","New Zealand","4","3"
"2009-03-05","Canada","New Zealand","1","1"
"2009-03-09","Sweden","Germany","3","2"
"2009-03-10","New Zealand","Netherlands","2","0"
"2009-03-11","United States","Sweden","1","1"
"2009-03-12","Netherlands","South Africa","5","0"
"2009-08-24","Germany","Norway","4","0"
"2009-08-29","Denmark","Netherlands","1","2"
"2009-08-31","Sweden","England","1","1"
"2009-09-10","England","Germany","2","6"
"2009-12-16","Brazil","China PR","3","0"
"2010-02-24","Germany","Denmark","4","0"
"2010-02-24","Norway","Sweden","2","2"
"2010-02-24","England","South Africa","1","0"
"2010-02-24","Canada","Switzerland","2","1"
"2010-02-27","England","Canada","0","1"
"2010-03-03","China PR","Sweden","0","2"
"2010-03-03","Netherlands","Switzerland","4","0"
"2010-05-19","Australia","Vietnam","2","0"
"2010-05-23","China PR","Australia","1","0"
"2010-05-23","Vietnam","South Korea","0","5"
"2010-10-21","New Zealand","England","0","0"
"2010-10-23","South Korea","Australia","2","1"
"2010-10-30","Haiti","Costa Rica","0","3"
"2010-11-01","United States","Costa Rica","4","0"
"2010-11-05","Canada","Costa Rica","4","0"
"2010-11-08","Costa Rica","United States","0","3"
"2010-11-11","Colombia","Brazil","1","2"
"2010-11-17","Brazil","Argentina","4","0"
"2010-11-21","Colombia","Argentina","1","0"
"2010-12-09","Canada","Netherlands","5","0"
"2011-01-21","China PR","Canada","2","3"
"2011-01-23","China PR","Sweden","2","1"
"2011-01-25","Canada","Sweden","1","0"
"2011-01-25","China PR","United States","0","2"
"2011-03-02","France","Switzerland","2","0"
"2011-03-02","New Zealand","Netherlands","1","4"
"2011-03-04","United States","Norway","2","0"
"2011-03-04","Switzerland","New Zealand","1","2"
"2011-03-07","Norway","Japan","0","1"
"2011-03-07","China PR","Sweden","0","1"
"2011-03-07","Canada","England","2","0"
"2011-03-07","Netherlands","Switzerland","6","0"
"2011-03-09","Norway","Denmark","0","0"
"2011-03-09","England","South Korea","2","0"
"2011-06-15","Colombia","Denmark","1","1"
"2011-06-18","New Zealand","Colombia","1","0"
"2011-06-27","Japan","New Zealand","2","1"
"2011-06-30","Canada","France","0","4"
"2011-06-30","Germany","Nigeria","1","0"
"2011-07-02","United States","Colombia","3","0"
"2011-07-05","Canada","Nigeria","0","1"
"2011-07-05","England","Japan","2","0"
"2011-07-06","Sweden","United States","2","1"
"2011-07-06","Australia","Norway","2","1"
"2011-07-09","England","France","1","1"
"2011-07-09","Germany","Japan","0","1"
"2011-07-10","Sweden","Australia","3","1"
"2011-07-10","Brazil","United States","2","2"
"2011-07-13","France","United States","1","3"
"2011-07-13","Japan","Sweden","3","1"
"2011-07-16","Sweden","France","2","1"
"2011-07-17","Japan","United States","2","2"
"2011-09-17","Germany","Switzerland","4","1"
"2011-09-22","Republic of Ireland","France","1","3"
"2011-10-26","Portugal","Denmark","0","3"
"2011-11-24","Spain","Germany","2","2"
"2012-01-30","Canada","United States","0","4"
"2012-02-12","United States","New Zealand","2","1"
"2012-02-17","China PR","South Korea","0","0"
"2012-02-28","France","Switzerland","3","0"
"2012-02-28","Netherlands","Italy","2","1"
"2012-02-29","Japan","Norway","2","1"
"2012-02-29","United States","Denmark","5","0"
"2012-03-01","Switzerland","England","0","1"
"2012-03-02","Denmark","Japan","0","2"
"2012-03-02","United States","Norway","2","1"
"2012-03-04","England","France","0","3"
"2012-03-04","Netherlands","Canada","0","1"
"2012-03-04","New Zealand","South Korea","1","1"
"2012-03-05","Norway","Denmark","0","1"
"2012-03-05","Japan","United States","1","0"
"2012-03-05","Portugal","Republic of Ireland","2","1"
"2012-03-06","New Zealand","Netherlands","2","2"
"2012-03-06","England","Italy","1","3"
"2012-03-07","Portugal","China PR","0","1"
"2012-03-07","Germany","Japan","4","3"
"2012-03-31","Germany","Spain","5","0"
"2012-04-03","Brazil","United States","0","3"
"2012-04-05","Switzerland","Germany","0","6"
"2012-05-26","Zambia","South Africa","1","4"
"2012-05-28","United States","China PR","4","1"
"2012-06-16","Sweden","United States","1","3"
"2012-06-16","Switzerland","Spain","4","3"
"2012-06-30","United States","Canada","2","1"
"2012-07-25","Japan","Canada","2","1"
"2012-07-28","United States","Colombia","3","0"
"2012-07-31","Japan","South Africa","0","0"
"2012-08-06","Canada","United States","3","4"
"2012-08-09","Canada","France","1","0"
"2012-09-15","France","Republic of Ireland","4","0"
"2012-11-29","United States","Republic of Ireland","5","0"
"2012-12-08","United States","China PR","2","0"
"2012-12-13","Denmark","Portugal","0","0"
"2012-12-16","United States","China PR","4","1"
"2012-12-18","Brazil","Denmark","2","1"
"2012-12-19","Brazil","Denmark","2","2"
"2013-01-12","China PR","Canada","0","1"
"2013-01-14","China PR","Norway","0","1"
"2013-01-16","China PR","South Korea","2","0"
"2013-01-16","Canada","Norway","0","0"
"2013-03-06","Denmark","Germany","0","0"
"2013-03-06","Sweden","China PR","1","1"
"2013-03-06","Canada","Switzerland","2","0"
"2013-03-06","South Korea","South Africa","2","0"
"2013-03-08","Germany","Japan","2","1"
"2013-03-08","Norway","Denmark","0","0"
"2013-03-08","Switzerland","Netherlands","1","1"
"2013-03-08","Republic of Ireland","South Africa","1","0"
"2013-03-11","Denmark","Japan","0","2"
"2013-03-11","Sweden","United States","1","1"
"2013-03-11","England","New Zealand","3","1"
"2013-03-11","South Korea","Republic of Ireland","0","0"
"2013-03-13","Norway","Sweden","2","2"
"2013-03-13","Germany","United States","0","2"
"2013-03-13","England","Canada","1","0"
"2013-04-05","Germany","United States","3","3"
"2013-04-09","Netherlands","United States","1","3"
"2013-06-21","United States","South Korea","5","0"
"2013-07-10","Sweden","Denmark","1","1"
"2013-07-12","England","Spain","2","3"
"2013-07-13","Italy","Denmark","2","1"
"2013-07-15","Spain","France","0","1"
"2013-07-16","Sweden","Italy","3","1"
"2013-07-17","Germany","Norway","0","1"
"2013-07-22","Norway","Spain","3","1"
"2013-07-24","Sweden","Germany","0","1"
"2013-07-25","Norway","Denmark","1","1"
"2013-09-22","Brazil","New Zealand","0","1"
"2013-09-25","China PR","New Zealand","0","4"
"2013-10-28","United States","New Zealand","4","1"
"2013-10-31","United States","New Zealand","1","1"
"2013-11-11","United States","Brazil","4","1"
"2013-12-18","Brazil","Canada","0","0"
"2014-02-11","China PR","New Zealand","1","0"
"2014-03-05","Japan","United States","1","1"
"2014-03-05","England","Italy","2","0"
"2014-03-05","New Zealand","Republic of Ireland","1","1"
"2014-03-05","Switzerland","South Korea","1","1"
"2014-03-07","Germany","China PR","1","0"
"2014-03-07","Japan","Denmark","1","0"
"2014-03-07","Canada","Italy","3","1"
"2014-03-07","Australia","France","2","3"
"2014-03-10","Japan","Sweden","2","1"
"2014-03-10","England","Canada","2","0"
"2014-03-12","China PR","Denmark","1","1"
"2014-03-12","Italy","Australia","2","5"
"2014-04-07","United States","China PR","2","0"
"2014-05-14","Australia","Japan","2","2"
"2014-05-16","Vietnam","Japan","0","4"
"2014-05-22","Japan","China PR","2","1"
"2014-05-25","China PR","South Korea","2","1"
"2014-05-25","Japan","Australia","1","0"
"2014-06-15","United States","France","1","0"
"2014-08-21","United States","Switzerland","4","1"
"2014-10-22","Nigeria","South Africa","2","1"
"2014-12-10","United States","China PR","1","1"
"2014-12-15","Brazil","United States","3","2"
"2014-12-18","Brazil","China PR","4","1"
"2015-01-13","China PR","South Korea","2","3"
"2015-01-15","China PR","Canada","1","2"
"2015-02-08","France","United States","2","0"
"2015-03-04","Brazil","China PR","0","0"
"2015-03-04","Germany","Sweden","2","4"
"2015-03-04","Norway","United States","1","2"
"2015-03-06","United States","Switzerland","3","0"
"2015-03-09","Brazil","Germany","1","3"
"2015-03-09","Italy","Canada","0","1"
"2015-03-11","Brazil","Switzerland","4","1"
"2015-03-11","Sweden","Germany","1","2"
"2015-04-05","United States","New Zealand","4","0"
"2015-06-06","Canada","China PR","1","0"
"2015-06-09","Spain","Costa Rica","1","1"
"2015-06-09","France","England","1","0"
"2015-06-13","Brazil","Spain","1","0"
"2015-06-13","South Korea","Costa Rica","2","2"
"2015-06-15","Canada","Netherlands","1","1"
"2015-06-16","Australia","Sweden","1","1"
"2015-06-17","Costa Rica","Brazil","0","1"
"2015-06-17","South Korea","Spain","2","1"
"2015-06-21","Brazil","Australia","0","1"
"2015-06-21","France","South Korea","3","0"
"2015-06-21","Canada","Switzerland","1","0"
"2015-06-26","Germany","France","1","1"
"2015-06-27","Australia","Japan","0","1"
"2015-08-16","United States","Costa Rica","8","0"
"2015-09-18","United States","Haiti","5","0"
"2015-10-22","United States","Brazil","1","1"
"2015-10-23","China PR","England","2","1"
"2015-10-25","United States","Brazil","3","1"
"2015-10-27","Portugal","Republic of Ireland","1","2"
"2015-10-27","Australia","England","0","1"
"2016-01-21","South Korea","Vietnam","5","0"
"2016-02-22","United States","Canada","2","0"
"2016-03-02","Canada","Denmark","0","1"
"2016-03-04","Portugal","Brazil","1","3"
"2016-03-06","United States","France","1","0"
"2016-03-06","Germany","England","2","1"
"2016-03-07","Portugal","New Zealand","0","1"
"2016-03-09","Canada","Brazil","2","1"
"2016-03-09","France","England","0","0"
"2016-03-09","United States","Germany","2","1"
"2016-04-07","United States","Colombia","7","0"
"2016-04-08","Portugal","Spain","1","4"
"2016-04-09","Switzerland","Italy","2","1"
"2016-04-12","Spain","Republic of Ireland","3","0"
"2016-06-03","United States","Japan","3","3"
"2016-06-05","United States","Japan","0","0"
"2016-07-09","United States","South Africa","1","0"
"2016-08-03","Sweden","South Africa","1","0"
"2016-08-03","Canada","Australia","2","0"
"2016-08-03","United States","New Zealand","2","0"
"2016-08-03","France","Colombia","4","0"
"2016-08-06","South Africa","China PR","0","2"
"2016-08-06","Brazil","Sweden","5","1"
"2016-08-12","China PR","Germany","0","1"
"2016-08-12","Canada","France","1","0"
"2016-08-16","Brazil","Sweden","0","0"
"2016-09-19","United States","Netherlands","3","1"
"2016-10-23","United States","Switzerland","5","1"
"2016-10-24","China PR","Denmark","1","0"
"2016-12-14","Brazil","Italy","3","1"
"2016-12-18","Brazil","Italy","5","3"
"2017-03-01","Denmark","Canada","0","1"
"2017-03-01","Japan","Spain","1","2"
"2017-03-01","Australia","Sweden","0","1"
"2017-03-01","England","France","1","2"
"2017-03-01","United States","Germany","1","0"
"2017-03-03","Portugal","Denmark","0","6"
"2017-03-03","China PR","Sweden","0","0"
"2017-03-04","France","Germany","0","0"
"2017-03-04","United States","England","0","1"
"2017-03-06","Norway","Japan","0","2"
"2017-03-06","Sweden","Netherlands","0","1"
"2017-03-06","Italy","Switzerland","0","6"
"2017-03-08","Japan","Netherlands","2","3"
"2017-03-08","Australia","Denmark","1","1"
"2017-03-08","Switzerland","South Korea","1","0"
"2017-06-08","Sweden","United States","0","1"
"2017-06-11","Norway","United States","0","1"
"2017-07-24","Norway","Denmark","0","1"
"2017-07-26","Switzerland","France","1","1"
"2017-07-29","Netherlands","Sweden","2","0"
"2017-07-30","Germany","Denmark","1","2"
"2017-07-30","United States","Brazil","4","3"
"2017-08-03","Netherlands","England","3","0"
"2017-08-03","Australia","Brazil","6","1"
"2017-08-03","United States","Japan","3","0"
"2017-10-20","Sweden","Denmark","3","0"
"2017-10-22","United States","South Korea","6","0"
"2017-10-24","Netherlands","Norway","1","0"
"2017-10-24","China PR","Brazil","2","2"
"2017-11-10","Canada","United States","1","1"
"2017-11-28","Netherlands","Republic of Ireland","0","0"
"2018-01-19","China PR","Vietnam","4","0"
"2018-01-22","United States","Denmark","5","1"
"2018-01-23","China PR","Colombia","2","0"
"2018-02-28","Portugal","China PR","2","1"
"2018-02-28","Australia","Norway","4","3"
"2018-02-28","Canada","Sweden","1","3"
"2018-03-01","England","France","4","1"
"2018-03-01","United States","Germany","1","0"
"2018-03-02","Portugal","Australia","0","0"
"2018-03-02","Sweden","South Korea","1","1"
"2018-03-04","Germany","England","2","2"
"2018-03-05","Australia","China PR","2","0"
"2018-03-05","South Korea","Canada","0","3"
"2018-03-07","France","Germany","3","0"
"2018-03-07","United States","England","1","0"
"2018-03-07","Italy","Spain","0","2"
"2018-04-07","Australia","South Korea","0","0"
"2018-04-10","South Korea","Japan","0","0"
"2018-04-16","Colombia","Argentina","1","3"
"2018-04-16","Philippines","South Korea","0","5"
"2018-04-17","China PR","Japan","1","3"
"2018-04-19","Brazil","Argentina","3","0"
"2018-04-22","Brazil","Colombia","3","0"
"2018-05-13","Haiti","Jamaica","2","2"
"2018-06-08","United States","China PR","1","0"
"2018-06-08","Republic of Ireland","Norway","0","2"
"2018-06-12","Norway","Republic of Ireland","1","0"
"2018-07-26","United States","Japan","4","2"
"2018-07-29","Japan","Brazil","1","2"
"2018-08-02","United States","Brazil","4","1"
"2018-10-04","China PR","Portugal","0","0"
"2018-10-05","Netherlands","Denmark","2","0"
"2018-10-09","Denmark","Netherlands","1","2"
"2018-10-11","Costa Rica","Canada","1","3"
"2018-10-14","Panama","Canada","0","7"
"2018-10-17","Panama","Jamaica","2","2"
"2018-10-17","United States","Canada","2","0"
"2018-11-08","Portugal","United States","0","1"
"2018-11-08","Argentina","Panama","4","0"
"2018-11-09","Netherlands","Switzerland","3","0"
"2018-11-18","Nigeria","South Africa","0","1"
"2018-11-21","Nigeria","Zambia","4","0"
"2019-01-17","China PR","Nigeria","3","0"
