"date","home_team","away_team","home_score","away_score"
"2008-11-22","Nigeria","South Africa","1","0"
"2009-01-14","China PR","South Korea","1","0"
"2009-03-04","China PR","Sweden","0","0"
"2009-03-04","United States","Denmark","2","0"
"2009-03-05","South Africa","England","0","6"
"2009-03-06","Germany","China PR","3","0"
"2009-03-06","Denmark","Norway","2","0"
"2009-03-07","England","France","2","2"
"2009-03-07","Canada","Netherlands","2","1"
"2009-03-09","Norway","United States","0","1"
"2009-03-10","France","South Africa","3","2"
"2009-03-11","Germany","Denmark","0","1"
"2009-03-12","France","New Zealand","1","1"
"2009-03-12","England","Canada","3","1"
"2009-08-25","Italy","England","2","1"
"2009-08-27","France","Germany","1","5"
"2009-08-28","Italy","Sweden","0","2"
"2009-08-30","Norway","France","1","1"
"2009-09-03","Netherlands","France","0","0"
"2009-09-04","Germany","Italy","2","1"
"2009-09-04","Sweden","Norway","1","3"
"2009-09-06","England","Netherlands","2","1"
"2009-09-07","Germany","Norway","3","1"
"2010-02-24","New Zealand","Italy","1","0"
"2010-02-26","Denmark","China PR","0","2"
"2010-02-26","Norway","United States","1","2"
"2010-02-26","Netherlands","New Zealand","1","1"
"2010-02-26","Switzerland","South Africa","3","1"
"2010-03-01","China PR","Germany","0","5"
"2010-03-01","United States","Sweden","2","0"
"2010-03-01","Italy","Netherlands","1","1"
"2010-03-01","South Africa","Canada","1","2"
"2010-03-01","England","Switzerland","2","2"
"2010-03-03","Denmark","Norway","2","1"
"2010-03-03","Germany","United States","2","3"
"2010-03-03","England","Italy","3","2"
"2010-03-03","New Zealand","Canada","0","1"
"2010-05-19","China PR","South Korea","0","0"
"2010-05-21","South Korea","Australia","1","3"
"2010-05-21","China PR","Vietnam","5","0"
"2010-05-27","Japan","Australia","0","1"
"2010-05-30","China PR","Japan","0","2"
"2010-10-17","South Korea","New Zealand","0","0"
"2010-10-19","South Korea","England","0","0"
"2010-10-28","United States","Haiti","5","0"
"2010-11-04","South Africa","Nigeria","1","2"
"2010-11-19","Brazil","Colombia","5","0"
"2010-12-12","Brazil","Netherlands","3","2"
"2010-12-15","Brazil","Canada","0","0"
"2010-12-19","Brazil","Canada","2","2"
"2011-01-21","Sweden","United States","2","1"
"2011-01-23","United States","Canada","2","1"
"2011-03-02","United States","Japan","2","1"
"2011-03-02","China PR","Denmark","0","1"
"2011-03-02","England","Italy","2","0"
"2011-03-04","Denmark","Sweden","1","3"
"2011-03-04","Italy","Canada","0","1"
"2011-03-04","France","Netherlands","1","2"
"2011-03-07","New Zealand","France","2","5"
"2011-03-09","Sweden","Japan","1","2"
"2011-03-09","Canada","Netherlands","2","1"
"2011-06-20","Denmark","New Zealand","1","0"
"2011-06-26","Nigeria","France","0","1"
"2011-06-26","Germany","Canada","2","1"
"2011-06-28","Colombia","Sweden","0","1"
"2011-06-29","Brazil","Australia","1","0"
"2011-07-01","New Zealand","England","1","2"
"2011-07-03","Brazil","Norway","3","0"
"2011-07-05","Germany","France","4","2"
"2011-10-23","Spain","Switzerland","3","2"
"2011-10-27","Netherlands","England","0","0"
"2011-12-08","Brazil","Italy","5","1"
"2011-12-11","Denmark","Italy","2","2"
"2011-12-15","Brazil","Denmark","0","1"
"2012-01-28","United States","Costa Rica","3","0"
"2012-02-28","South Korea","South Africa","2","1"
"2012-02-29","Sweden","China PR","1","0"
"2012-03-01","Italy","Canada","1","2"
"2012-03-01","South Africa","New Zealand","0","0"
"2012-03-02","Germany","China PR","1","0"
"2012-03-05","Sweden","Germany","0","4"
"2012-03-06","France","Canada","2","0"
"2012-03-07","Sweden","United States","0","4"
"2012-04-01","Japan","United States","1","1"
"2012-06-16","South Africa","Zambia","2","1"
"2012-06-17","England","Netherlands","1","0"
"2012-06-18","Japan","United States","1","4"
"2012-07-25","Sweden","South Africa","4","1"
"2012-07-25","United States","France","4","2"
"2012-07-28","New Zealand","Brazil","0","1"
"2012-07-28","Japan","Sweden","0","0"
"2012-07-28","Canada","South Africa","3","0"
"2012-07-31","Canada","Sweden","2","2"
"2012-07-31","France","Colombia","1","0"
"2012-08-03","Sweden","France","1","2"
"2012-08-03","United States","New Zealand","2","0"
"2012-08-03","Brazil","Japan","0","2"
"2012-08-06","France","Japan","1","2"
"2012-08-09","United States","Japan","2","1"
"2012-09-02","United States","Costa Rica","8","0"
"2012-09-17","United States","Australia","2","1"
"2012-09-19","Denmark","Portugal","2","0"
"2012-09-20","United States","Australia","6","2"
"2012-10-21","United States","Germany","1","1"
"2012-10-24","United States","Germany","2","2"
"2012-11-07","Nigeria","South Africa","0","1"
"2012-12-02","United States","Republic of Ireland","2","0"
"2012-12-09","Brazil","Portugal","4","0"
"2012-12-13","United States","China PR","4","0"
"2012-12-16","Brazil","Denmark","2","1"
"2013-01-12","Norway","South Korea","2","0"
"2013-01-14","Canada","South Korea","1","3"
"2013-03-06","Norway","Japan","2","0"
"2013-03-06","England","Italy","4","2"
"2013-03-08","United States","China PR","5","0"
"2013-03-08","New Zealand","Italy","2","0"
"2013-03-11","Germany","Norway","2","0"
"2013-03-11","Netherlands","Canada","0","1"
"2013-03-13","Japan","China PR","1","0"
"2013-03-13","South Korea","Italy","0","1"
"2013-03-13","New Zealand","Switzerland","2","1"
"2013-06-03","Canada","United States","0","3"
"2013-06-16","United States","South Korea","4","1"
"2013-07-11","Germany","Netherlands","0","0"
"2013-07-14","Norway","Netherlands","1","0"
"2013-07-18","France","England","3","0"
"2021-04-10","Sweden","United States","1","1"
"2021-04-14","France","United States","0","2"
"2021-11-26","Italy","Switzerland","1","2"
"2021-11-30","Portugal","Germany","1","3"
"2022-01-21","South Korea","Vietnam","3","0"
"2022-01-24","Vietnam","Japan","0","3"
"2022-01-27","Japan","South Korea","1","1"
"2022-01-30","China PR","Vietnam","3","1"
"2022-02-16","Brazil","Netherlands","1","1"
"2022-02-17","Germany","Spain","1","1"
"2022-02-17","England","Canada","1","1"
"2022-02-20","United States","New Zealand","5","0"
"2022-02-20","Portugal","Sweden","0","4"
"2022-02-20","Canada","Germany","1","0"
"2022-02-23","Portugal","Norway","0","2"
"2022-04-09","Germany","Portugal","3","0"
"2022-07-04","Nigeria","South Africa","1","2"
"2022-07-08","Germany","Denmark","4","0"
"2022-07-09","Netherlands","Sweden","1","1"
"2022-07-10","France","Italy","5","1"
"2022-07-11","Canada","Costa Rica","2","0"
"2022-07-14","United States","Costa Rica","3","0"
"2022-07-14","Canada","Jamaica","3","0"
"2022-07-17","Sweden","Portugal","5","0"
"2022-07-18","Costa Rica","Jamaica","0","1"
"2022-07-18","United States","Canada","1","0"
"2022-07-18","Zambia","South Africa","0","1"
"2022-07-20","England","Spain","2","1"
"2022-07-23","Morocco","South Africa","1","2"
"2022-07-25","Colombia","Argentina","1","0"
"2022-07-30","Colombia","Brazil","0","1"
"2022-07-31","England","Germany","2","1"
"2022-08-31","Colombia","Canada","1","0"
"2022-10-09","Japan","New Zealand","2","0"
"2023-02-15","Costa Rica","Colombia","1","1"
"2023-02-16","Spain","Jamaica","3","0"
"2023-02-16","England","South Korea","4","0"
"2023-02-16","Japan","Brazil","0","1"
"2023-02-16","United States","Canada","2","0"
"2023-02-17","New Zealand","Portugal","0","5"
"2023-02-18","Denmark","Norway","2","0"
"2023-02-19","United States","Japan","1","0"
"2023-02-21","Nigeria","Costa Rica","1","0"
"2023-02-22","South Korea","Italy","1","2"
"2023-02-22","United States","Brazil","2","1"
"2023-04-06","England","Brazil","1","1"
"2023-04-07","Nigeria","Haiti","2","1"
"2023-04-07","Netherlands","Germany","0","1"
"2023-04-11","United States","Republic of Ireland","1","0"
"2023-04-11","Sweden","Norway","3","3"
"2023-04-11","Germany","Brazil","1","2"
"2023-04-11","Denmark","Japan","1","0"
"2023-04-11","Italy","Columbia","2","1"
"2023-06-17","Panama","Columbia","0","2"
"2023-06-30","Switzerland","Zambia","3","3"
"2023-07-01","Italy","Morocco","0","0"
"2023-07-06","Republic of Ireland","France","0","3"
"2023-07-08","South Korea","Haiti","2","1"
"2023-07-10","New Zealand","Vietnam","2","0"
"2023-07-14","Japan","Panama","5","0"
"2013-07-21","Italy","Germany","0","1"
"2013-07-22","France","Denmark","1","1"
"2013-07-28","Germany","Norway","1","0"
"2013-10-20","United States","Australia","4","0"
"2014-01-31","United States","Canada","1","0"
"2014-03-05","Norway","China PR","0","1"
"2014-03-05","Sweden","Denmark","2","0"
"2014-03-05","Netherlands","Australia","2","2"
"2014-03-07","Sweden","United States","1","0"
"2014-03-07","Republic of Ireland","South Korea","1","1"
"2014-03-07","Switzerland","New Zealand","2","1"
"2014-03-10","Norway","Germany","1","3"
"2014-03-10","United States","Denmark","3","5"
"2014-03-10","Netherlands","France","0","3"
"2014-03-10","Switzerland","Republic of Ireland","1","2"
"2014-03-10","South Korea","New Zealand","4","0"
"2014-03-12","Germany","Japan","3","0"
"2014-03-12","Netherlands","Switzerland","4","1"
"2014-03-12","Canada","Republic of Ireland","2","1"
"2014-03-12","England","France","0","2"
"2014-04-11","United States","China PR","3","0"
"2014-05-09","Canada","United States","1","1"
"2014-05-18","Vietnam","Australia","0","2"
"2014-05-19","South Korea","China PR","0","0"
"2014-05-22","South Korea","Australia","1","2"
"2014-06-19","United States","France","2","2"
"2014-10-14","Zambia","Nigeria","0","6"
"2014-10-18","Costa Rica","Jamaica","2","1"
"2014-10-20","United States","Haiti","6","0"
"2014-10-26","United States","Costa Rica","6","0"
"2014-12-10","Brazil","Argentina","4","0"
"2014-12-11","China PR","United States","1","1"
"2014-12-14","Argentina","China PR","0","6"
"2014-12-14","Brazil","United States","3","2"
"2014-12-18","United States","Argentina","7","0"
"2014-12-19","United States","Argentina","7","0"
"2014-12-21","China PR","Argentina","0","0"
"2014-12-21","Brazil","United States","0","0"
"2014-12-22","Brazil","United States","0","0"
"2015-01-11","Canada","South Korea","2","1"
"2015-02-14","England","United States","0","1"
"2015-03-04","Japan","Denmark","1","2"
"2015-03-04","Portugal","France","0","1"
"2015-03-04","South Korea","Italy","1","2"
"2015-03-04","Netherlands","Australia","0","1"
"2015-03-06","Germany","China PR","2","0"
"2015-03-06","Sweden","Brazil","0","2"
"2015-03-06","Portugal","Japan","0","3"
"2015-03-06","France","Denmark","4","1"
"2015-03-06","Canada","South Korea","1","0"
"2015-03-06","Australia","England","0","3"
"2015-03-09","Sweden","China PR","3","0"
"2015-03-09","Norway","Switzerland","2","2"
"2015-03-09","Japan","France","1","3"
"2015-03-09","Portugal","Denmark","2","2"
"2015-03-09","Netherlands","England","1","1"
"2015-03-11","Portugal","China PR","3","3"
"2015-03-11","Norway","Denmark","5","2"
"2015-03-11","France","United States","0","2"
"2015-03-11","Canada","England","0","1"
"2015-05-10","United States","Republic of Ireland","3","0"
"2015-05-24","Japan","New Zealand","1","0"
"2015-05-31","United States","South Korea","0","0"
"2015-06-06","New Zealand","Netherlands","0","1"
"2015-06-08","Japan","Switzerland","1","0"
"2015-06-08","Sweden","Nigeria","3","3"
"2015-06-08","United States","Australia","3","1"
"2015-06-09","Brazil","South Korea","2","0"
"2015-06-11","China PR","Netherlands","1","0"
"2015-06-11","Canada","New Zealand","0","0"
"2015-06-11","Germany","Norway","1","1"
"2015-06-12","Australia","Nigeria","2","0"
"2015-06-12","United States","Sweden","0","0"
"2015-06-13","France","Colombia","0","2"
"2015-06-15","China PR","New Zealand","2","2"
"2015-06-16","Nigeria","United States","0","1"
"2015-06-17","England","Colombia","2","1"
"2015-06-20","Germany","Sweden","4","1"
"2015-06-22","Norway","England","1","2"
"2015-06-22","United States","Colombia","2","0"
"2015-06-23","Japan","Netherlands","2","1"
"2015-06-26","China PR","United States","0","1"
"2015-06-27","Canada","England","1","2"
"2015-06-30","United States","Germany","2","0"
"2015-07-01","Japan","England","2","1"
"2015-07-04","Germany","England","0","1"
"2015-07-05","United States","Japan","5","2"
"2015-08-20","United States","Costa Rica","7","2"
"2015-09-20","United States","Haiti","8","0"
"2015-10-24","Italy","Switzerland","0","3"
"2015-10-25","China PR","Australia","1","1"
"2015-10-27","Sweden","Denmark","1","0"
"2015-11-26","Republic of Ireland","Spain","0","3"
"2015-12-01","Spain","Portugal","2","0"
"2015-12-14","United States","China PR","2","0"
"2015-12-16","Brazil","Canada","2","1"
"2015-12-17","United States","China PR","0","1"
"2015-12-20","Brazil","Canada","3","1"
"2016-01-23","China PR","Vietnam","8","0"
"2016-01-24","United States","Republic of Ireland","5","0"
"2016-01-26","China PR","South Korea","2","0"
"2016-02-11","United States","Costa Rica","5","0"
"2016-03-02","Brazil","New Zealand","1","0"
"2016-03-03","Germany","France","1","0"
"2016-03-03","United States","England","1","0"
"2016-03-04","Italy","Republic of Ireland","1","1"
"2016-03-09","Portugal","Denmark","1","3"
"2016-04-10","United States","Colombia","3","0"
"2016-07-23","United States","Costa Rica","4","0"
"2016-08-03","Brazil","China PR","3","0"
"2016-08-06","Germany","Australia","2","2"
"2016-08-06","United States","France","1","0"
"2016-08-06","Colombia","New Zealand","0","1"
"2016-08-09","Brazil","South Africa","0","0"
"2016-08-09","China PR","Sweden","0","0"
"2016-08-09","Germany","Canada","1","2"
"2016-08-09","Colombia","United States","2","2"
"2016-08-09","New Zealand","France","0","3"
"2016-08-12","United States","Sweden","1","1"
"2016-08-12","Brazil","Australia","0","0"
"2016-08-16","Canada","Germany","0","2"
"2016-08-19","Brazil","Canada","1","2"
"2016-08-19","Sweden","Germany","1","2"
"2016-09-20","Republic of Ireland","Portugal","0","1"
"2016-09-20","Denmark","Sweden","2","0"
"2016-10-20","United States","Switzerland","4","0"
"2016-11-29","Nigeria","South Africa","1","0"
"2016-12-07","Brazil","Costa Rica","6","0"
"2016-12-11","Italy","Costa Rica","3","0"
"2017-03-01","Netherlands","China PR","1","0"
"2017-03-03","Spain","Norway","3","0"
"2017-03-03","Australia","Netherlands","3","2"
"2017-03-06","Portugal","Canada","0","0"
"2017-03-06","China PR","Australia","1","2"
"2017-03-06","New Zealand","South Korea","0","2"
"2017-03-07","Germany","England","1","0"
"2017-03-07","United States","France","0","3"
"2017-03-08","Portugal","Norway","0","2"
"2017-03-08","Spain","Canada","1","0"
"2017-07-16","Netherlands","Norway","1","0"
"2017-07-17","Germany","Sweden","0","0"
"2017-07-19","Spain","Portugal","2","0"
"2017-07-20","Netherlands","Denmark","1","0"
"2017-07-21","Germany","Italy","2","1"
"2017-07-23","England","Spain","2","0"
"2017-07-25","Sweden","Italy","2","3"
"2017-07-27","Portugal","England","1","2"
"2017-07-27","Brazil","Japan","1","1"
"2017-07-27","United States","Australia","0","1"
"2017-07-30","England","France","1","0"
"2017-07-30","Japan","Australia","2","4"
"2017-08-06","Netherlands","Denmark","4","2"
"2017-09-16","United States","New Zealand","3","1"
"2017-09-20","United States","New Zealand","5","0"
"2017-10-20","United States","South Korea","3","1"
"2017-10-22","Japan","Switzerland","2","0"
"2017-11-13","United States","Canada","3","1"
"2017-11-28","Portugal","Italy","0","1"
"2018-01-21","Vietnam","Colombia","0","2"
"2018-02-28","Japan","Netherlands","2","6"
"2018-02-28","Italy","Switzerland","3","0"
"2018-03-02","China PR","Norway","0","2"
"2018-03-02","Denmark","Netherlands","2","3"
"2018-03-04","United States","France","1","1"
"2018-03-05","Portugal","Norway","2","0"
"2018-03-05","Japan","Denmark","2","0"
"2018-03-07","South Korea","Norway","3","2"
"2018-03-07","Canada","Japan","2","0"
"2018-03-07","Portugal","Australia","2","1"
"2018-04-05","Brazil","Argentina","3","1"
"2018-04-07","Japan","Vietnam","4","0"
"2018-04-09","Philippines","China PR","0","3"
"2018-04-10","Republic of Ireland","Netherlands","0","2"
"2018-04-10","Vietnam","Australia","0","8"
"2018-04-13","Japan","Australia","1","1"
"2018-04-13","South Korea","Vietnam","4","0"
"2018-04-20","Japan","Australia","1","0"
"2018-06-08","Italy","Portugal","3","0"
"2018-06-13","United States","China PR","2","1"
"2018-07-26","Brazil","Australia","1","3"
"2018-07-29","United States","Australia","1","1"
"2018-08-02","Australia","Japan","2","0"
"2018-08-31","Costa Rica","Panama","3","1"
"2018-09-04","Norway","Netherlands","2","1"
"2018-09-04","Denmark","Sweden","0","1"
"2018-10-05","Canada","Jamaica","2","0"
"2018-10-07","United States","Panama","5","0"
"2018-10-08","Jamaica","Costa Rica","1","0"
"2018-10-14","United States","Jamaica","6","0"
"2018-11-13","Switzerland","Netherlands","1","1"
"2018-11-13","Panama","Argentina","1","1"
"2018-11-24","South Africa","Zambia","1","1"
"2018-12-01","Nigeria","South Africa","0","0"
"2019-01-20","France","United States","3","1"
"2019-01-20","China PR","South Korea","1","0"
"2019-01-23","Spain","United States","0","1"
"2019-02-27","Spain","Netherlands","2","0"
"2019-02-27","England","Brazil","2","1"
"2019-02-28","Australia","New Zealand","2","0"
"2019-03-02","Brazil","Japan","1","3"
"2019-03-02","United States","England","2","2"
"2019-03-03","Argentina","New Zealand","0","2"
"2019-03-04","Denmark","China PR","1","0"
"2019-03-06","China PR","Netherlands","1","1"
"2019-03-06","Canada","Sweden","0","0"
"2019-03-06","South Korea","New Zealand","2","0"
"2019-04-05","United States","Australia","5","3"
"2019-05-17","United States","New Zealand","5","0"
"2019-06-09","Brazil","Jamaica","3","0"
"2019-06-13","South Africa","China PR","0","1"
"2019-06-13","Australia","Brazil","3","2"
"2019-06-14","England","Argentina","1","0"
"2019-06-15","Canada","New Zealand","2","0"
"2019-06-17","France","Nigeria","1","0"
"2019-06-17","South Korea","Norway","1","2"
"2019-06-17","South Africa","Germany","0","4"
"2019-06-18","Jamaica","Australia","1","4"
"2019-06-19","Japan","England","0","2"
"2019-06-20","Sweden","United States","0","2"
"2019-06-22","Germany","Nigeria","3","0"
"2019-06-24","Spain","United States","1","2"
"2019-06-24","Sweden","Canada","1","0"
"2019-06-25","Italy","China PR","2","0"
"2019-06-27","Norway","England","0","3"
"2019-06-28","France","United States","1","2"
"2019-06-29","Italy","Netherlands","0","2"
"2019-08-30","Brazil","Argentina","5","0"
"2019-09-01","Costa Rica","Argentina","3","1"
"2019-09-04","United States","Portugal","3","0"
"2019-10-04","United States","South Korea","2","0"
"2019-11-07","China PR","New Zealand","2","0"
"2019-11-08","United States","Sweden","3","2"
"2019-11-10","Canada","New Zealand","3","0"
"2019-11-11","United States","Costa Rica","6","0"
"2020-01-29","United States","Haiti","4","0"
"2020-03-04","Netherlands","Brazil","0","0"
"2020-03-04","Portugal","Italy","1","2"
"2020-03-05","Spain","Japan","3","1"
"2020-03-07","Canada","Netherlands","0","0"
"2020-03-07","Sweden","Denmark","1","2"
"2020-03-07","Germany","Norway","4","0"
"2020-03-07","New Zealand","Italy","0","3"
"2020-03-10","Brazil","Canada","2","2"
"2020-03-10","France","Netherlands","3","3"
"2020-03-10","New Zealand","Norway","1","2"
"2020-03-11","England","Spain","0","1"
"2020-09-19","Germany","Republic of Ireland","3","0"
"2020-11-27","Netherlands","United States","0","2"
"2020-12-01","Denmark","Italy","0","0"
"2020-12-01","Republic of Ireland","Germany","1","3"
"2021-01-19","United States","Colombia","4","0"
"2021-02-22","United States","Brazil","2","0"
"2021-10-21","Republic of Ireland","Sweden","0","1"
"2022-01-24","Philippines","Australia","0","4"
"2022-01-30","Australia","South Korea","0","1"
"2022-02-03","South Korea","Philippines","2","0"
"2022-02-03","China PR","Japan","2","2"
"2022-02-06","China PR","South Korea","3","2"
"2022-02-16","Denmark","Italy","0","1"
"2022-02-16","Portugal","Norway","2","0"
"2022-02-19","France","Brazil","2","1"
"2022-02-20","Italy","Norway","2","1"
"2022-02-20","England","Spain","0","0"
"2022-02-22","France","Netherlands","3","1"
"2022-02-23","Sweden","Italy","1","1"
"2022-02-23","Spain","Canada","1","0"
"2022-02-23","England","Germany","3","1"
"2022-04-12","Sweden","Republic of Ireland","1","1"
"2022-04-12","Switzerland","Italy","0","1"
"2022-07-04","United States","Haiti","3","0"
"2022-07-05","Costa Rica","Panama","3","0"
"2022-07-07","Jamaica","United States","0","5"
"2022-07-08","Panama","Canada","0","1"
"2022-07-09","Portugal","Switzerland","2","2"
"2022-07-09","Brazil","Argentina","4","0"
"2022-07-11","England","Norway","8","0"
"2022-07-11","Jamaica","Haiti","4","0"
"2022-07-12","Germany","Spain","2","0"
"2022-07-13","Sweden","Switzerland","2","1"
"2022-07-13","Netherlands","Portugal","3","2"
"2022-07-16","Denmark","Spain","0","1"
"2022-07-17","Switzerland","Netherlands","1","4"
"2022-07-18","Morocco","Nigeria","1","1"
"2022-07-22","Nigeria","Zambia","0","1"
"2022-07-23","France","Netherlands","1","0"
"2022-07-26","England","Sweden","4","0"
"2022-07-27","Germany","France","2","1"
"2023-02-15","France","Denmark","1","0"
"2023-02-18","Colombia","Nigeria","1","0"
"2023-02-19","Australia","Spain","3","2"
"2023-02-19","England","Italy","2","1"
"2023-02-19","Brazil","Canada","0","2"
"2023-02-20","New Zealand","Argentina","0","2"
"2023-02-21","France","Norway","0","0"
"2023-02-22","Australia","Jamaica","3","0"
"2023-02-22","Canada","Japan","0","3"
"2023-02-23","New Zealand","Argentina","0","1"
"2023-04-06","Switzerland","China PR","0","0"
"2023-04-06","Spain","Norway","4","2"
"2023-04-07","France","Columbia","5","2"
"2023-04-07","Sweden","Denmark","0","1"
"2023-04-07","Portugal","Japan","1","2"
"2023-04-07","South Korea","Zambia","5","2"
"2023-04-08","United States","Republic of Ireland","2","0"
"2023-04-11","England","Australia","0","2"
"2023-04-11","France","Canada","2","1"
"2023-04-11","Spain","China PR","3","0"
"2023-04-11","South Korea","Zambia","5","0"
"2023-04-11","New Zealand","Nigeria","0","3"
"2023-05-09","Vietnam","Philippines","1","2"
"2023-06-21","Panama","Columbia","1","1"
"2023-06-22","Republic of Ireland","Zambia","3","2"
"2023-06-24","Germany","Vietnam","2","1"
"2023-06-29","Spain","Panama","7","0"
"2023-07-01","England","Portugal","0","0"
"2023-07-01","Venezuela","Haiti","4","1"
"2023-07-03","Costa Rica","Haiti","2","0"
"2023-07-05","Denmark","Spain","0","2"
"2023-07-05","Switzerland","Morocco","0","0"
"2023-07-07","Germany","Zambia","2","3"
"2023-07-13","Vietnam","Spain","0","9"
"2023-07-14","Australia","France","1","0"
"2023-07-14","Costa Rica","South Africa","0","2"
"2023-07-14","New Zealand","Italy","0","1"
